Gunicorn,600,2061,2113,3294,99,4715,0.0,1.057197932120845,0.1672520166050555
Tornado PyPy,600,3144,3286,4386,640,5788,0.0,1.0536427062461697,0.1481685055658676
Tornado,600,2526,1977,5365,271,6731,0.0,1.0551806733107878,0.1483847821843295
Go,600,1720,1707,2798,219,3908,0.0,1.0611224199250495,0.12020527413213451
TOTAL,2400,2363,2143,4105,99,6731,0.0,4.086358373629367,0.5646676854185112
